Id,Steps,Reward,Ep steps,Ep reward,Lives,Avg Q,Avg R,Stucked
253,129,27.0,1764,141.0,1,1.749845517873764,159.04,False
254,66,14.0,1830,155.0,0,1.7492286360263825,158.9607843137255,False
255,561,17.0,561,17.0,4,1.7485841071605683,158.9607843137255,False
256,154,4.0,715,21.0,3,1.747936018705368,158.9607843137255,False
257,187,11.0,902,32.0,2,1.7472925007343292,158.9607843137255,False
258,208,29.0,1110,61.0,1,1.7466489899158477,158.9607843137255,False
259,79,12.0,1189,73.0,0,1.7459667432308197,157.30769230769232,False
260,181,5.0,181,5.0,4,1.745267243385315,157.30769230769232,False
261,311,12.0,492,17.0,3,1.7445937168598176,157.30769230769232,False
262,197,8.0,689,25.0,2,1.7439065670967102,157.30769230769232,False
263,75,5.0,764,30.0,1,1.7432273077964782,157.30769230769232,False
264,290,14.0,1054,44.0,0,1.742559074163437,155.16981132075472,False
265,215,6.0,215,6.0,4,1.7419090926647187,155.16981132075472,False
266,790,85.0,1005,91.0,3,1.741292462348938,155.16981132075472,False
267,145,33.0,1150,124.0,2,1.7406917476654054,155.16981132075472,False
268,70,5.0,1220,129.0,1,1.7401018702983857,155.16981132075472,False
269,56,7.0,1276,136.0,0,1.7394968521595002,154.8148148148148,False
270,130,3.0,130,3.0,4,1.7388919484615326,154.8148148148148,False
271,981,54.0,1111,57.0,3,1.7383165097236633,154.8148148148148,False
272,254,108.0,1365,165.0,2,1.7377549278736115,154.8148148148148,False
273,166,69.0,1531,234.0,1,1.7371892070770263,154.8148148148148,False
274,261,46.0,1792,280.0,0,1.7366202998161315,157.0909090909091,False
275,637,20.0,637,20.0,4,1.7360051679611206,157.0909090909091,False
276,285,25.0,922,45.0,3,1.7353709661960601,157.0909090909091,False
277,227,26.0,1149,71.0,2,1.7348110127449035,157.0909090909091,False
278,226,51.0,1375,122.0,1,1.7342610490322112,157.0909090909091,False
279,72,1.0,1447,123.0,0,1.7337025797367096,156.48214285714286,False
280,152,4.0,152,4.0,4,1.7331402111053467,156.48214285714286,False
281,783,38.0,935,42.0,3,1.7325910222530365,156.48214285714286,False
282,138,19.0,1073,61.0,2,1.7320660841464997,156.48214285714286,False
283,62,11.0,1135,72.0,1,1.7315147507190705,156.48214285714286,False
284,145,28.0,1280,100.0,0,1.7309699523448945,155.49122807017545,False
285,378,13.0,378,13.0,4,1.7304665088653564,155.49122807017545,False
286,62,11.0,440,24.0,3,1.729949642419815,155.49122807017545,False
